d1,s,s_tol+,s_tol-,d3,d3_tol+,d3_tol-,a,b,d5,W,d2,d2_tol+,d2_tol-,m,t,n,d4,FN,FR,g,FRg,nabl,Pliers
3,0.4,0,-0.05,2.7,0.04,-0.15,1.9,0.8,1,0.017,2.8,0,-0.04,0.5,0.1,0.3,7,0.15,0.47,0.5,0.27,360000,3
4,0.4,0,-0.05,3.7,0.04,-0.15,2.2,0.9,1,0.022,3.8,0,-0.048,0.5,0.1,0.3,8.6,0.2,0.5,0.5,0.3,211000,3
5,0.6,0,-0.05,4.7,0.04,-0.15,2.5,1.1,1,0.066,4.8,0,-0.048,0.7,0.1,0.3,10.2,0.26,1,0.5,0.8,154000,3
6,0.7,0,-0.05,5.6,0.04,-0.15,2.7,1.3,1.2,0.084,5.7,0,-0.048,0.8,0.15,0.5,11.7,0.46,1.45,0.5,0.9,114000,3
7,0.8,0,-0.05,6.5,0.06,-0.18,3.1,1.4,1.2,0.121,6.7,0,-0.06,0.9,0.15,0.5,13.5,0.54,2.6,0.5,1.4,121000,3
8,0.8,0,-0.05,7.4,0.06,-0.18,3.2,1.5,1.2,0.158,7.6,0,-0.06,0.9,0.2,0.6,14.7,0.81,3,0.5,2,96000,3
9,1,0,-0.06,8.4,0.06,-0.18,3.3,1.7,1.2,0.3,8.6,0,-0.06,1.1,0.2,0.6,16,0.92,3.5,0.5,2.4,85000,3
10,1,0,-0.06,9.3,0.10,-0.36,3.3,1.8,1.5,0.34,9.6,0,-0.11,1.1,0.2,0.6,17,1.01,4,1,2.4,84000,10
11,1,0.06,-0.18,10.2,0.10,-0.36,3.3,1.8,1.5,0.41,10.5,0,-0.11,1.1,0.25,0.8,18,1.4,4.5,1,2.4,70000,10
12,1,0.06,-0.18,11,0.10,-0.36,3.3,1.8,1.7,0.5,11.5,0,-0.11,1.1,0.25,0.8,19,1.53,5,1,2.4,75000,10
13,1,0.06,-0.18,11.9,0.10,-0.36,3.4,2,1.7,0.53,12.4,0,-0.11,1.1,0.3,0.9,20.2,2,5.8,1,2.4,66000,10
14,1,0.06,-0.18,12.9,0.10,-0.36,3.5,2.1,1.7,0.64,13.4,0,-0.11,1.1,0.3,0.9,21.4,2.15,6.35,1,2.4,58000,10
15,1,0.06,-0.18,13.8,0.10,-0.36,3.6,2.2,1.7,0.67,14.3,0,-0.11,1.1,0.35,1.1,22.6,2.66,6.9,1,2.4,50000,10
16,1,0.06,-0.18,14.7,0.10,-0.36,3.7,2.2,1.7,0.7,15.2,0,-0.11,1.1,0.4,1.2,23.8,3.26,7.4,1,2.4,45000,10
17,1,0.06,-0.18,15.7,0.10,-0.36,3.8,2.3,1.7,0.82,16.2,0,-0.11,1.1,0.4,1.2,25,3.46,8,1,2.4,41000,10
18,1.2,0.06,-0.18,16.5,0.10,-0.36,3.9,2.4,2,1.11,17,0,-0.11,1.3,0.5,1.5,26.2,4.58,17,1.5,3.75,39000,10
19,1.2,0.06,-0.18,17.5,0.10,-0.36,3.9,2.5,2,1.22,18,0,-0.11,1.3,0.5,1.5,27.2,4.84,17,1.5,3.8,35000,19
20,1.2,0.06,-0.18,18.5,0.13,-0.42,4,2.6,2,1.3,19,0,-0.13,1.3,0.5,1.5,28.4,5.06,17.1,1.5,3.85,32000,19
21,1.2,0.06,-0.18,19.5,0.13,-0.42,4.1,2.7,2,1.42,20,0,-0.13,1.3,0.5,1.5,29.6,5.36,16.8,1.5,3.75,29000,19
22,1.2,0.06,-0.18,20.5,0.13,-0.42,4.2,2.8,2,1.5,21,0,-0.13,1.3,0.5,1.5,30.8,5.65,16.9,1.5,3.8,27000,19
24,1.2,0.06,-0.18,22.2,0.21,-0.42,4.4,3,2,1.77,22.9,0,-0.21,1.3,0.55,1.7,33.2,6.75,16.1,1.5,3.65,27000,19
25,1.2,0.06,-0.18,23.2,0.21,-0.42,4.4,3,2,1.9,23.9,0,-0.21,1.3,0.55,1.7,34.2,7.05,16.2,1.5,3.7,25000,19
26,1.2,0.06,-0.18,24.2,0.21,-0.42,4.5,3.1,2,1.96,24.9,0,-0.21,1.3,0.55,1.7,35.5,7.34,16.1,1.5,3.7,24000,19
28,1.5,0.06,-0.18,25.9,0.21,-0.42,4.7,3.2,2,2.92,26.6,0,-0.21,1.6,0.7,2.1,37.9,10,32.1,1.5,7.5,21200,19
29,1.5,0.06,-0.18,26.9,0.21,-0.42,4.8,3.4,2,3.2,27.6,0,-0.21,1.6,0.7,2.1,39.1,10.37,31.8,1.5,7.45,20000,19
30,1.5,0.06,-0.18,27.9,0.21,-0.42,5,3.5,2,3.31,28.6,0,-0.21,1.6,0.7,2.1,40.5,10.73,32.1,1.5,7.65,18900,19
32,1.5,0.06,-0.18,29.6,0.21,-0.42,5.2,3.6,2.5,3.54,30.3,0,-0.25,1.6,0.85,2.6,43,13.85,31.2,2,5.55,16900,19
34,1.5,0.06,-0.18,31.5,0.25,-0.5,5.4,3.8,2.5,3.8,32.3,0,-0.25,1.6,0.85,2.6,45.4,14.72,31.3,2,5.6,16100,19
35,1.5,0.06,-0.18,32.2,0.25,-0.5,5.6,3.9,2.5,4,33,0,-0.25,1.6,1,3,46.8,17.8,30.8,2,5.55,15500,19
36,1.75,0.06,-0.18,33.2,0.25,-0.5,5.6,4,2.5,5,34,0,-0.25,1.85,1,3,47.8,18.33,49.4,2,9,14500,19
38,1.75,0.06,-0.18,35.2,0.25,-0.5,5.8,4.2,2.5,5.62,36,0,-0.25,1.85,1,3,50.2,19.3,49.5,2,9.1,13600,19
