Size,McMaster-Carr:s,McMaster-Carr:m,McMaster-Carr:dc,McMaster-Carr:knurls,McMaster-Carr:material_thickness,McMaster-Carr:drill,McMaster-Carr:part,Hilitchi:s,Hilitchi:m,Hilitchi:dc,Hilitchi:knurls,Hilitchi:material_thickness,Hilitchi:drill,Hilitchi:part,AE-SamZhihui:s,AE-SamZhihui:m,AE-SamZhihui:dc,AE-SamZhihui:knurls,AE-SamZhihui:material_thickness,AE-SamZhihui:drill,AE-SamZhihui:part
M2-0.4-Short,3.6,2.5,3.1,20,3.3,#30, 94459A110,,,,,,,,,,,,,,
M2-0.4-Standard,3.6,4,3.1,20,4.7,#30, 94459A120,,,,,,,,,,,,,,
M3-0.5-Short,4.7,4.3,3.9,20,5.1,#21, 94459A130,,,,,,,,,,,,,,
M3-0.5-Standard,4.7,5.7,3.9,20,6.5,#21, 94459A140,,,,,,,,,,,,,,
M4-0.7-Short,6.3,4.7,5.5,20,5.5,#2, 94459A150,,,,,,,,,,,,,,
M4-0.7-Standard,6.3,8.2,5.5,20,8.9,#2, 94459A170,,,,,,,,,,,,,,
M5-0.8-Standard,7.1,9.5,6.3,20,10.3, F, 94459A180,,,,,,,,,,,,,,
M2-0.4-3,,,,,,,,3.5,3,2.9,20,3.8,#30,H-THM300,,,,,,,
M2-0.4-4,,,,,,,,3.5,4,2.9,20,4.8,#30,H-THM300,,,,,,,
M2-0.4-6,,,,,,,,3.5,6,2.9,20,6.8,#30,H-THM300,,,,,,,
M2-0.4-8,,,,,,,,3.5,8,2.9,20,8.8,#30,H-THM300,,,,,,,
M3-0.5-6,,,,,,,,5,6,4.3,20,6.8,#21,H-THM300,,,,,,,
M3-0.5-8,,,,,,,,5,8,4.3,20,8.8,#21,H-THM300,,,,,,,
M3-0.5-10,,,,,,,,5,10,4.3,20,10.8,#21,H-THM300,,,,,,,
M4-0.7-8,,,,,,,,6,8,5.3,20,8.8,#2,H-THM300,,,,,,,
M4-0.7-6,,,,,,,,6,6,5.3,20,6.8,#2,H-THM300,,,,,,,
M4-0.7-10,,,,,,,,6,10,5.3,20,10.8,#2,H-THM300,,,,,,,
M5-0.8-6,,,,,,,,7,6,6.3,20,6.8,F,H-THM300,,,,,,,
M5-0.8-8,,,,,,,,7,8,6.3,20,8.8,F,H-THM300,,,,,,,
M5-0.8-10,,,,,,,,7,10,6.3,20,10.8,F,H-THM300,,,,,,,
M6-1-10,,,,,,,,8,10,7.3,20,10.8,M,H-THM300,,,,,,,
M6-1-12,,,,,,,,8,12,7.3,20,12.8,M,H-THM300,,,,,,,
M1.4-0.3-H1.5-D2.3,,,,,,,,,,,,,,,2.3,1.5,1.9,20,0,#47,https://www.aliexpress.com/item/1005005220632314.html
M1.4-0.3-H2-D2.3,,,,,,,,,,,,,,,2.3,2,1.9,20,0,#47,https://www.aliexpress.com/item/1005005220632314.html
M1.4-0.3-H3-D2.3,,,,,,,,,,,,,,,2.3,3,1.9,20,0,#47,https://www.aliexpress.com/item/1005005220632314.html
M1.4-0.3-H4-D2.3,,,,,,,,,,,,,,,2.3,4,1.9,20,0,#47,https://www.aliexpress.com/item/1005005220632314.html
M1.4-0.3-H5-D2.3,,,,,,,,,,,,,,,2.3,5,1.9,20,0,#47,https://www.aliexpress.com/item/1005005220632314.html
M1.4-0.3-H6-D2.3,,,,,,,,,,,,,,,2.3,6,1.9,20,0,#47,https://www.aliexpress.com/item/1005005220632314.html
M1.6-0.35-H2-D2.5,,,,,,,,,,,,,,,2.5,2,2,20,0,#45,https://www.aliexpress.com/item/1005005220632314.html
M1.6-0.35-H3-D2.5,,,,,,,,,,,,,,,2.5,3,2,20,0,#45,https://www.aliexpress.com/item/1005005220632314.html
M1.6-0.35-H4-D2.5,,,,,,,,,,,,,,,2.5,4,2,20,0,#45,https://www.aliexpress.com/item/1005005220632314.html
M1.6-0.35-H5-D2.5,,,,,,,,,,,,,,,2.5,5,2,20,0,#45,https://www.aliexpress.com/item/1005005220632314.html
M1.6-0.35-H6-D2.5,,,,,,,,,,,,,,,2.5,6,2,20,0,#45,https://www.aliexpress.com/item/1005005220632314.html
M2-0.4-H2-D3,,,,,,,,,,,,,,,3,2,2.68,20,0,#35,https://www.aliexpress.com/item/1005005220632314.html
M2-0.4-H3-D3,,,,,,,,,,,,,,,3,3,2.68,20,0,#35,https://www.aliexpress.com/item/1005005220632314.html
M2-0.4-H4-D3,,,,,,,,,,,,,,,3,4,2.68,20,0,#35,https://www.aliexpress.com/item/1005005220632314.html
M2-0.4-H5-D3,,,,,,,,,,,,,,,3,5,2.68,20,0,#35,https://www.aliexpress.com/item/1005005220632314.html
M2-0.4-H6-D3,,,,,,,,,,,,,,,3,6,2.68,20,0,#35,https://www.aliexpress.com/item/1005005220632314.html
M2-0.4-H8-D3,,,,,,,,,,,,,,,3,8,2.68,20,0,#35,https://www.aliexpress.com/item/1005005220632314.html
