size,tpi,major_diameter,pitch_diameter,minor_diameter,pitch_tolerance,internal_minor_tolerance,external_major_tolerance
1/16,28,7.723,7.142,6.561,0.107,0.282,0.214
1/8,28,9.728,9.147,8.566,0.107,0.282,0.214
1/4,19,13.157,12.301,11.445,0.125,0.445,0.250
3/8,19,16.662,15.806,14.950,0.125,0.445,0.250
1/2,14,20.955,19.793,18.631,0.142,0.541,0.284
5/8,14,22.911,21.749,20.587,0.142,0.541,0.284
3/4,14,26.441,25.279,24.117,0.142,0.541,0.284
7/8,14,30.201,29.039,27.877,0.142,0.541,0.284
1,11,33.249,31.770,30.291,0.180,0.640,0.360
1 1/8,11,37.897,36.418,34.939,0.180,0.640,0.360
1 1/4,11,41.910,40.431,38.952,0.180,0.640,0.360
1 1/2,11,47.803,46.324,44.845,0.180,0.640,0.360
1 3/4,11,53.746,52.267,50.788,0.180,0.640,0.360
2,11,59.614,58.135,56.656,0.180,0.640,0.360
2 1/4,11,65.710,64.231,62.752,0.217,0.640,0.434
2 1/2,11,75.184,73.705,72.226,0.217,0.640,0.434
2 3/4,11,81.534,80.055,78.576,0.217,0.640,0.434
3,11,87.884,86.405,84.926,0.217,0.640,0.434
3 1/2,11,100.330,98.851,97.372,0.217,0.640,0.434
4,11,113.030,111.551,110.072,0.217,0.640,0.434
4 1/2,11,125.730,124.251,122.772,0.217,0.640,0.434
5,11,138.430,136.951,135.472,0.217,0.640,0.434
5 1/2,11,151.130,149.651,148.172,0.217,0.640,0.434
6,11,163.830,162.351,160.872,0.217,0.640,0.434
