Size,iso3601:id,iso3601:w,iso3601:id_tol,iso3601:w_tol
001,0.74,1.02,0.100,0.080
002,1.07,1.27,0.100,0.080
003,1.42,1.52,0.100,0.080
004,1.78,1.78,0.130,0.080
005,2.57,1.78,0.130,0.080
006,2.90,1.78,0.130,0.080
007,3.68,1.78,0.130,0.080
008,4.47,1.78,0.130,0.080
009,5.28,1.78,0.130,0.080
010,6.07,1.78,0.130,0.080
011,7.65,1.78,0.130,0.080
012,9.25,1.78,0.130,0.080
013,10.82,1.78,0.130,0.080
014,12.42,1.78,0.130,0.080
015,14.00,1.78,0.180,0.080
016,15.60,1.78,0.230,0.080
017,17.17,1.78,0.230,0.080
018,18.77,1.78,0.230,0.080
019,20.35,1.78,0.230,0.080
020,21.95,1.78,0.230,0.080
021,23.52,1.78,0.230,0.080
022,25.12,1.78,0.250,0.080
023,26.70,1.78,0.250,0.080
024,28.30,1.78,0.250,0.080
025,29.87,1.78,0.280,0.080
026,31.47,1.78,0.280,0.080
027,33.05,1.78,0.280,0.080
028,34.65,1.78,0.330,0.080
029,37.82,1.78,0.330,0.080
030,41.00,1.78,0.330,0.080
031,44.17,1.78,0.380,0.080
032,47.35,1.78,0.380,0.080
033,50.52,1.78,0.460,0.080
034,53.70,1.78,0.460,0.080
035,56.87,1.78,0.460,0.080
036,60.05,1.78,0.460,0.080
037,63.22,1.78,0.460,0.080
038,66.40,1.78,0.510,0.080
039,69.57,1.78,0.510,0.080
040,72.75,1.78,0.510,0.080
041,75.92,1.78,0.610,0.080
042,82.27,1.78,0.610,0.080
043,88.62,1.78,0.610,0.080
044,94.97,1.78,0.690,0.080
045,101.32,1.78,0.690,0.080
046,107.67,1.78,0.760,0.080
047,114.02,1.78,0.760,0.080
048,120.37,1.78,0.760,0.080
049,126.72,1.78,0.940,0.080
050,133.07,1.78,0.940,0.080
102,1.24,2.62,0.130,0.080
103,2.06,2.62,0.130,0.080
104,2.84,2.62,0.130,0.080
105,3.63,2.62,0.130,0.080
106,4.42,2.62,0.130,0.080
107,5.23,2.62,0.130,0.080
108,6.02,2.62,0.130,0.080
109,7.59,2.62,0.130,0.080
110,9.19,2.62,0.130,0.080
111,10.77,2.62,0.130,0.080
112,12.37,2.62,0.130,0.080
113,13.94,2.62,0.180,0.080
114,15.54,2.62,0.230,0.080
115,17.12,2.62,0.230,0.080
116,18.72,2.62,0.230,0.080
117,20.29,2.62,0.250,0.080
118,21.89,2.62,0.250,0.080
119,23.47,2.62,0.250,0.080
120,25.07,2.62,0.250,0.080
121,26.64,2.62,0.250,0.080
122,28.24,2.62,0.250,0.080
123,29.82,2.62,0.300,0.080
124,31.42,2.62,0.300,0.080
125,32.99,2.62,0.300,0.080
126,34.59,2.62,0.300,0.080
127,36.17,2.62,0.300,0.080
128,37.77,2.62,0.300,0.080
129,39.34,2.62,0.380,0.080
130,40.94,2.62,0.380,0.080
131,42.52,2.62,0.380,0.080
132,44.12,2.62,0.380,0.080
133,45.69,2.62,0.380,0.080
134,47.29,2.62,0.380,0.080
135,48.90,2.62,0.430,0.080
136,50.47,2.62,0.430,0.080
137,52.07,2.62,0.430,0.080
138,53.64,2.62,0.430,0.080
139,55.25,2.62,0.430,0.080
140,56.82,2.62,0.430,0.080
141,58.42,2.62,0.510,0.080
142,59.99,2.62,0.510,0.080
143,61.60,2.62,0.510,0.080
144,63.17,2.62,0.510,0.080
145,64.77,2.62,0.510,0.080
146,66.34,2.62,0.510,0.080
147,67.95,2.62,0.560,0.080
148,69.52,2.62,0.560,0.080
149,71.12,2.62,0.560,0.080
150,72.69,2.62,0.560,0.080
151,75.87,2.62,0.610,0.080
152,82.22,2.62,0.610,0.080
153,88.57,2.62,0.610,0.080
154,94.92,2.62,0.710,0.080
155,101.27,2.62,0.710,0.080
156,107.62,2.62,0.760,0.080
157,113.97,2.62,0.760,0.080
158,120.32,2.62,0.760,0.080
159,126.67,2.62,0.890,0.080
160,133.02,2.62,0.890,0.080
161,139.37,2.62,0.890,0.080
162,145.72,2.62,0.890,0.080
163,152.07,2.62,0.890,0.080
164,158.42,2.62,1.020,0.080
165,164.77,2.62,1.020,0.080
166,171.12,2.62,1.020,0.080
167,177.47,2.62,1.020,0.080
168,183.82,2.62,1.140,0.080
169,190.17,2.62,1.140,0.080
170,196.52,2.62,1.140,0.080
171,202.87,2.62,1.140,0.080
172,209.22,2.62,1.270,0.080
173,215.57,2.62,1.270,0.080
174,221.92,2.62,1.270,0.080
175,228.27,2.62,1.270,0.080
176,234.62,2.62,1.400,0.080
177,240.97,2.62,1.400,0.080
178,247.32,2.62,1.400,0.080
201,4.34,3.53,0.130,0.100
202,5.94,3.53,0.130,0.100
203,7.52,3.53,0.130,0.100
204,9.12,3.53,0.130,0.100
205,10.69,3.53,0.130,0.100
206,12.29,3.53,0.130,0.100
207,13.87,3.53,0.180,0.100
208,15.47,3.53,0.230,0.100
209,17.04,3.53,0.230,0.100
210,18.64,3.53,0.250,0.100
211,20.22,3.53,0.250,0.100
212,21.82,3.53,0.250,0.100
213,23.39,3.53,0.250,0.100
214,24.99,3.53,0.250,0.100
215,26.57,3.53,0.250,0.100
216,28.17,3.53,0.300,0.100
217,29.74,3.53,0.300,0.100
218,31.34,3.53,0.300,0.100
219,32.92,3.53,0.300,0.100
220,34.52,3.53,0.300,0.100
221,36.09,3.53,0.300,0.100
222,37.69,3.53,0.380,0.100
223,40.87,3.53,0.380,0.100
224,44.04,3.53,0.380,0.100
225,47.22,3.53,0.460,0.100
226,50.39,3.53,0.460,0.100
227,53.57,3.53,0.460,0.100
228,56.74,3.53,0.510,0.100
229,59.92,3.53,0.510,0.100
230,63.09,3.53,0.510,0.100
231,66.27,3.53,0.510,0.100
232,69.44,3.53,0.610,0.100
233,72.62,3.53,0.610,0.100
234,75.79,3.53,0.610,0.100
235,78.97,3.53,0.610,0.100
236,82.14,3.53,0.610,0.100
237,85.32,3.53,0.610,0.100
