diameter,diameter_max,diameter_min,tpi
13,13.06,12.75,12
15,14.76,14.45,12
18,17.88,17.47,8
20,19.89,19.48,8
22,21.89,21.49,8
24,23.88,23.47,8
26,25.63,25.12,8
28,27.64,27.13,6
30,28.62,28.12,6
33,32.13,31.52,6
35,34.64,34.04,6
38,37.49,36.88,6
40,40.13,39.37,6
43,42.01,41.25,6
45,44.20,43.43,6
48,47.50,46.74,6
51,49.99,49.10,6
53,52.50,51.61,6
58,56.49,55.60,6
60,59.49,58.60,6
63,62.51,61.62,6
66,65.51,64.62,6
70,69.49,68.60,6
75,73.99,73.10,6
77,77.09,76.20,6
83,83.01,82.12,5
89,89.18,88.29,5
100,100.00,99.11,5
110,110.01,109.12,5
120,119.99,119.10,5
