NPS,O,W,d,n,C,T,Y1,Y2
1/2,95,66.7,5/8,4,1/2,65,75,55
3/4,115,82.6,3/4,4,5/8,75,90,65
1,125,88.9,3/4,4,5/8,75,90,65
1 1/4,135,98.4,3/4,4,5/8,85,95,70
1 1/2,155,114.3,7/8,4,3/4,90,100,75
2,165,127.0,3/4,8,5/8,90,100,75
2 1/2,190,149.2,7/8,8,3/4,100,115,85
3,210,168.3,7/8,8,3/4,110,120,90
3 1/2,230,184.2,7/8,8,3/4,110,125,95
4,255,200.0,7/8,8,3/4,115,125,95
5,280,235.0,7/8,8,3/4,120,135,110
6,320,269.9,7/8,12,3/4,120,140,110
8,380,330.2,1,12,7/8,140,150,120
10,445,387.4,1 1/8,16,1,160,170,140
12,520,450.8,1 1/4,16,1 1/8,170,185,145
14,585,514.4,1 1/4,20,1 1/8,180,190,160
16,650,571.5,1 3/8,20,1 1/4,190,205,165
18,710,628.6,1 3/8,24,1 1/4,195,210,170
20,775,685.8,1 3/8,24,1 1/4,205,220,185
22,840,743.0,1 5/8,24,1 1/2,230,255,205
24,915,812.8,1 5/8,24,1 1/2,230,255,205

