NPS,O,tf,X,Ah,Y,B,r,D,B11,B13,C,F,G
1/2,120,22.3,38,21.3,32,32,60,23,22.2,22.9,Note (4),3,23.6,10
3/4,130,25.4,44,26.7,35,35,70,26,27.7,28.2,Note (4),3,29.0,11
1,150,28.6,52,33.4,41,41,73,29,34.5,34,9,Note (4),3,35.8,13
1 1/4,160,28.6,64,42.2,41,41,73,31,43.2,43.7,Note (4),5,44.4,14
1 1/2,180,31.8,70,48.3,44,44,83,32,49.5,50.0,Note (4),6,50.6,16
2,215,38.1,105,60.3,57,57,102,39,61.9,62.5,Note (4),8,63.5,17
2 1/2,245,413,124,73.0,64,64,105,48,74.6,75.4,Note (4),8,76.2,19
3,265,47.7,133,88.9,a,73,117,a,aa,914,Note (4),10,…,…
4,310,54.0,162,114.3,we,90,124,os,we,116.8,Note (4),11,…,…
5,375,73.1,197,141.3,an,105,156,a,te,144.4,Note (4),11,…,…
6,395,82.6,229,168.3,on,119,171,a,aa,171.4,Note (4),13,…,…
8,485,92.1,292,219.1,an,143,213,a,te,222.2,Note (4),13,…,…
10,585,108.0,368,273.0,on,178,254,a,aa,277.4,Note (4),13,…,…
12,675,123.9,451,323.8,a,219,283,a,aa,328.2,Note (4),13,…,…
14,750,133.4,495,355.6,a,241,298,a,aa,360.2,Note (4),13,…,…
16,825,146.1,552,406.4,we,260,311,os,we,411.2,Note (4),13,…,…
18,915,162.0,597,457.0,on,276,327,a,aa,462.3,Note (4),13,…,…
20,985,1778,641,508.0,an,292,356,a,te,514.4,Note (4),13,…,…
24,1170,203.2,762,610.0,ws,330,406,=,=,616.0,Note (4),13,…,…
