NPS,O,tf,X,Ah,Y,B,r,D,B11,B13,C,F,G
1/2,135,30.2,43,21.3,40,40,73,29,22.9,Note (4),3,23.6
3/4,,140,318,51,26.7,43,43,79,32,28.2,Note (4),3,29.0
1,160,35.0,57,33.4,48,48,89,35,34.9,Note (4),3,35.8
1 1/4,185,38.1,73,42.2,52,52,95,39,43.7,Note (4),5,444
1 1/2,205,44.5,79,48.3,60,60,111,45,50.0,Note (4),6,50.6
2,235,50.9,95,60.3,70,70,127,51,62.5,Note (4),8,63.5
2 1/2,265,57.2,114,73.0,79,79,143,58,75.4,Note (4),8,76.2
3,305,66.7,133,88.9,…,92,168,…,91.4,Note (4),10,…
4,355,76.2,165,114.3,…,108,190,…,116.8,Note (4),11,…
5,420,92.1,203,141.3,…,130,229,…,144.4,Note (4),11,…
6,485,108.0,235,168.3,…,152,273,…,171.4,Note (4),13,…
8,550,127.0,305,219.1,…,178,318,…,222.2,Note (4),13,…
10,675,165.1,375,273.0,…,229,419,…,277.4,Note (4),13,…
12,760,184.2,441,323.8,…,254,464,…,328.2,Note (4),13,…
