NPS,O,tf,tf_lap_joint,X,Ah,Y_slip_socket,Y_lapped,Y_welding_neck,T,B_slip_socket,B_lapped,B_welding_neck,r,Q,D
1/2,95,12.7,14.3,38,21.3,21,22,51,16,22.2,22.9,15.8,3,23.6,10
3/4,115,14.3,15.9,48,26.7,24,25,56,16,27.7,28.2,20.9,3,29.0,11
1,125,15.9,17.5,54,33.4,25,27,60,18,34.5,34.9,26.6,3,35.8,13
1 1/4,135,17.5,19.1,64,42.2,25,27,64,21,43.2,43.7,35.1,5,44.4,14
1 1/2,155,19.1,20.7,70,48.3,29,30,67,23,49.5,50.0,40.9,6,50.3,16
2,165,20.7,22.3,84,60.3,32,33,68,29,61.9,62.5,52.5,8,63.5,17
2 1/2,190,23.9,25.4,100,73.0,37,38,75,32,74.6,75.4,62.7,8,76.2,19
3,210,27.0,28.6,117,88.9,41,43,78,32,90.7,91.4,77.9,10,92.2,21
3 1/2,230,28.6,30.2,133,101.6,43,44,79,37,103.4,104.1,90.1,10,104.9,…
4,255,30.2,31.8,146,114.3,46,48,84,37,116.1,116.8,102.3,11,117.6,…
5,280,33.4,35.0,178,141.3,49,51,97,43,143.8,144.4,128.2,11,144.4,…
6,320,35.0,36.6,206,168.3,51,52,97,47,170.7,171.4,154.1,13,171.4,…
8,380,39.7,41.3,260,219.1,60,62,110,51,221.5,222.2,202.7,13,222.2,…
10,445,46.1,47.7,321,273.0,65,95,116,56,276.2,277.4,254.6,13,276.2,…
12,520,49.3,50.8,375,323.8,71,102,129,61,327.0,328.2,304.8,13,328.6,…
14,585,52.4,54.0,425,355.6,75,111,141,64,359.2,360.2,Note (7),13,360.4,…
16,650,55.6,57.2,483,406.4,81,121,144,69,410.5,411.2,Note (7),13,411.2,…
18,710,58.8,60.4,533,457.0,87,130,157,70,461.8,462.3,Note (7),13,462.0,…
20,775,62.0,63.5,587,508.0,94,140,160,74,513.1,514.4,Note (7),13,512.8,…
22,840,65.1,66.7,640,558.8,100,145,164,…,564.4,565.2,Note (7),13,…,…
24,915,68.3,69.9,702,610.0,105,152,167,83,616.0,616.0,Note (7),13,614.4,…
