NPS,O,tf,X,Ah,Y,B,r,D,B11,B13,C,F,G
3,240,38.1,127,88.9,54,54,102,42,90.7,91.4,Note (5),10,92.2
4,290,44.5,159,114.3,70,70,114,48,116.1,116.8,Note (5),11,117.6
5,350,50.8,190,141.3,79,79,127,54,143.8,144.4,Note (5),11,144.4
6,380,55.6,235,168.3,86,86,140,58,170.7,171.4,Note (5),13,171.4
8,470,63.5,298,219.1,102,114,162,64,221.5,222.2,Note (5),13,222.2
10,545,69.9,368,273.0,108,127,184,72,276.2,277.4,Note (5),13,276.2
12,610,79.4,419,323.8,117,143,200,77,327.0,328.2,Note (5),13,328.6
14,640,85.8,451,355.6,130,156,213,83,359.2,360.2,—,Note (5),13,360.4
16,705,88.9,508,406.4,133,165,216,86,410.5,411.2,Note (5),13,411.2
18,785,101.6,565,457.0,152,190,229,89,461.8,462.3,Note (5),13,462.0
20,855,108.0,622,508.0,159,210,248,93,513.1,514.4,Note (5),13,512.8
24,1,040,139.7,749,610.0,203,267,292,102,616.0,616.0,Note (5),13,614.4
