NPS,Groove_No,P,E,F,R,K,Distance_Between_Flanges
1/2:,11,34.14,5.54,7.14,0.8,51,3
3/4,13,42.88,6.35,8.74,0.8,63.5,4
1,16,50.8,6.35,8.74,0.8,70,4
1 1/4,18,60.33,6.35,8.74,0.8,79.5,4
1 1/2,20,68.27,6.35,8.74,0.8,90.5,4
2,23,82.55,7.92,11.91,0.8,108,6
2 1/2,26,101.6,7.92,11.91,0.8,127,6
3,31,123.83,7.92,11.91,0.8,146,6
3 1/2,34,131.78,7.92,11.91,0.8,159,6
4,37,149.23,7.92,11.91,0.8,175,6
5,41,180.98,7.92,11.91,0.8,210,6
6,45,211.12,7.92,11.91,0.8,241,6
8,49,269.88,7.92,11.91,0.8,302,6
10,53,323.85,7.92,11.91,0.8,356,6
12,57,381,7.92,11.91,0.8,413,6
14,61,419.1,7.92,11.91,0.8,457,6
16,65,469.9,7.92,11.91,0.8,508,6
18,69,533.4,7.92,11.91,0.8,575,6
20,73,584.2,9.53,13.49,1.5,635,6
22,81,635,11.13,15.09,1.5,686,6
24,77,692.15,11.13,16.66,1.5,749,6
